ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Transcriptions,AlternativeValues
Spanish-1-100-1,,Spanish,1-100,mundo,mundo,m u n d o,,,,false,^mundo$,Spanish,,
Spanish-1-210-1,,Spanish,1-210,tierra,tierra,t j ɛ r a,,,,false,^tierra$,Spanish,,
Spanish-1-212-1,,Spanish,1-212,suelo,suelo,s w e l o,,,,false,^suelo$,Spanish,,
Spanish-1-213-1,,Spanish,1-213,polvo,polvo,p o l β o,,,,false,^polvo$,Spanish,,
Spanish-1-214-1,,Spanish,1-214,lodo,lodo,l o ð o,,,,false,^lodo$,Spanish,,
Spanish-1-215-1,,Spanish,1-215,arena,arena,a ɾ e n a,,,,false,^arena$,Spanish,,
Spanish-1-220-1,,Spanish,1-220,montaɲa; loma; cerro,montaɲa,m o n t a ɲ a,,,,false,^montaɲa$,Spanish,,
Spanish-1-220-2,,Spanish,1-220,montaɲa; loma; cerro,loma,l o m a,,,,false,^loma$,Spanish,,
Spanish-1-220-3,,Spanish,1-220,montaɲa; loma; cerro,cerro,θ ɛ r o,,,,false,^cerro$,Spanish,,
Spanish-1-222-1,,Spanish,1-222,acantilado; barranca,acantilado,a k a n t i l a ð o,,,,false,^acantilado$,Spanish,,
Spanish-1-222-2,,Spanish,1-222,acantilado; barranca,barranca,b a r a n k a,,,,false,^barranca$,Spanish,,
Spanish-1-230-1,,Spanish,1-230,pampa; llanura; campo,pampa,p a m p a,,,,false,^pampa$,Spanish,,
Spanish-1-230-2,,Spanish,1-230,pampa; llanura; campo,llanura,ʎ a n u ɾ a,,,,false,^llanura$,Spanish,,
Spanish-1-230-3,,Spanish,1-230,pampa; llanura; campo,campo,k a m p o,,,,false,^campo$,Spanish,,
Spanish-1-240-1,,Spanish,1-240,valle,valle,b a ʎ e,,,,false,^valle$,Spanish,,
Spanish-1-250-1,,Spanish,1-250,isla,isla,i s l a,,,,false,^isla$,Spanish,,
Spanish-1-260-1,,Spanish,1-260,continente; tierra firme,continente,k o n t i n e n t e,,,,false,^continente$,Spanish,,
Spanish-1-260-2,,Spanish,1-260,continente; tierra firme,tierra_firme,t j ɛ r a + f i ɾ m e,,,,false,^tierra_firme$,Spanish,,
Spanish-1-270-1,,Spanish,1-270,ribera; playa; costa,ribera,r i β ɛ ɾ a,,,,false,^ribera$,Spanish,,
Spanish-1-270-2,,Spanish,1-270,ribera; playa; costa,playa,p l a ʝ a,,,,false,^playa$,Spanish,,
Spanish-1-270-3,,Spanish,1-270,ribera; playa; costa,costa,k o s t a,,,,false,^costa$,Spanish,,
Spanish-1-280-1,,Spanish,1-280,cueva; gruta,cueva,k w e β a,,,,false,^cueva$,Spanish,,
Spanish-1-280-2,,Spanish,1-280,cueva; gruta,gruta,g ɾ u t a,,,,false,^gruta$,Spanish,,
Spanish-1-310-1,,Spanish,1-310,agua,agua,a ɣ w a,,,,false,^agua$,Spanish,,
Spanish-1-320-1,,Spanish,1-320,mar,mar,m a ɾ,,,,false,^mar$,Spanish,,
Spanish-1-322-1,,Spanish,1-322,calma,calma,k a l m a,,,,false,^calma$,Spanish,,
Spanish-1-323-1,,Spanish,1-323,agitado (mar); borrascoso,agitado,a x i t a ð o,,,,false,^agitado$,Spanish,,
Spanish-1-323-2,,Spanish,1-323,agitado (mar); borrascoso,borrascoso,b o r a s k o s o,,,,false,^borrascoso$,Spanish,,
Spanish-1-324-1,,Spanish,1-324,espuma,espuma,ɛ s p u m a,,,,false,^espuma$,Spanish,,
Spanish-1-329-1,,Spanish,1-329,océano,océano,o θ e a n o,,,,false,^océano$,Spanish,,
Spanish-1-330-1,,Spanish,1-330,lago,lago,l a ɣ o,,,,false,^lago$,Spanish,,
Spanish-1-340-1,,Spanish,1-340,golfo; bahía,golfo,g o l f o,,,,false,^golfo$,Spanish,,
Spanish-1-340-2,,Spanish,1-340,golfo; bahía,bahía,b a i a,,,,false,^bahía$,Spanish,,
Spanish-1-341-1,,Spanish,1-341,laguna,laguna,l a ɣ u n a,,,,false,^laguna$,Spanish,,
Spanish-1-342-1,,Spanish,1-342,arrecife,arrecife,a r e θ i f e,,,,false,^arrecife$,Spanish,,
