ID	Name	Family	SubGroup	Glottocode	IDS_ID
Araona	Araona	Panoan		arao1248	272
Cashibo	Cashibo	Panoan		cash1251	277
Catuquina	Catuquina	Panoan		pano1254	278
Cavinena	Cavineña	Panoan		cavi1250	273
Chacobo	Chácobo	Panoan		chac1251	279
EseEjja	Ese Ejja	Panoan		esee1248	274
HuarayoEseEjja	Ese Ejja (Huarayo)	Panoan		esee1248	275
Pacahuara	Parahuara	Panoan		paca1246	280
ShipiboConibo	Shipibo-Conibo	Panoan		ship1254	281
Tacana	Tacana	Panoan		taca1256	276
Yaminahua	Yaminahua	Panoan		yami1256	282
MashcoPiro	Mascho Piro	Arawakan		mash1270	264
Moseten	Mosetén			mose1249	271
Movima	Movima			movi1243	285
Cayuvava	Cayuvava			vayu1262	283
Itonama	Itonama			iton1250	284
PacaasNovos	Pacaas Novos	Chapacuran		wari1268	286
Spanish	Spanish	Indo-European	Romance	stan1288	176
Portuguese	Portuguese	Indo-European	Romance	port1283	178
Aymara	Aymara	Aymaran		cent2142	269
Aguaruna	Aguaruna	Chicham		agua1253	258
Yagua	Yagua	Peba-Yagua		yagu1244	260
