Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	hermana de la madre, hermana del padre	176	100	U+0061
-	<?>	awɨ-g, duku-g	258, 178	100	U+002d
i	i	divorcio, arco iris	176	100	U+0069
a$	a	nuera, hembra	176	100	U+0061 U+0024
o	o	nosotros, nosotras	176	100	U+006f
n	n	continente, descendientes	176	100	U+006e
e	e	descendientes, nuera	176	100	U+0065
t	t	nosotros, nosotras	176	100	U+0074
i$	i	nuhi, ukukui	258, 178, 176	100	U+0069 U+0024
r	r	nosotros, nosotras	176	100	U+0072
k	k	ukukui, nugka	258	100	U+006b
u	u	anguila de agua dulce, nuera	176	100	U+0075
o$	o	hijo, ganado	176	100	U+006f U+0024
m	m	comida, hambre	176	100	U+006d
ɨ	ɨ	awɨ-g, tɨ'pɨtpɨtu waaku	258	100	U+0268
e$	e	hambre, delante	176	100	U+0065 U+0024
h	h	nuhi, šihaptahi	258, 176, 178	100	U+0068
p	p	campo, tiempo	176	100	U+0070
s	s	nosotros, nosotras	176	100	U+0073
_	_	llevar sobre la cabeza, llevar bajo el brazo	176	100	U+005f
y	y	rĩyẽrya, uyut	258, 260, 176	100	U+0079
^h	h	hambre, huésped	176, 178, 258	100	U+005e U+0068
w	w	suwɨ, awɨ-g	258	100	U+0077
d	d	hermano de la madre, podrido	176	100	U+0064
^k	k	ku'ičik, kuhap	258	100	U+005e U+006b
^p	p	piel, paja	176	100	U+005e U+0070
^m	m	macho, maɲana	176	100	U+005e U+006d
^t	t	tirar, tener	176	100	U+005e U+0074
č	č	ku'ičik, na'i ɨmɨna čiča-u	258	100	U+010d
^e	e	enrollar, ebrio	176	100	U+005e U+0065
^a	a	ave, acercarse	176	100	U+005e U+0061
^n	n	nosotros, nós	178, 176, 258	100	U+005e U+006e
l	l	plato, palma de la mano	176	100	U+006c
ʔ	ʔ	hiʔi'sa, aʔka	271, 274, 273	100	U+0294
u$	u	céu, hii kɨɨ'ku	258, 178, 176	100	U+0075 U+0024
b	b	hambre, árbol	176	100	U+0062
^s	s	suave, suegra	176	100	U+005e U+0073
r$	r	vivir, pleamar	176	100	U+0072 U+0024
^w	w	wanu, watura	258, 260	100	U+005e U+0077
^r	r	resfriado, roncar	176, 178	100	U+005e U+0072
š	š	ašaša, 'kaši-kmas	258, 264, 271, 272, 260	100	U+0161
β	β	βaβã, βaβa	278, 277	100	U+03b2
ɨ$	ɨ	suwɨ, dasɨ	264, 258	100	U+0268 U+0024
^β	β	βana, βɨ'mana	277, 278	100	U+005e U+03b2
ã	ã	irmão, hãmu-nãwa	178, 260	100	U+00e3
^i	i	irmão, irmã	178, 258, 176	100	U+005e U+0069
^b	b	bajo, burro	176, 178	100	U+005e U+0062
x	x	mexi, próximo	264, 178, 176	100	U+0078
^č	č	čiḳa, čõ	269, 271, 258, 264, 260	100	U+005e U+010d
ɲ	ɲ	kawaɲu, hiɲuri	260, 176, 258	100	U+0272
^y	y	yumi, yamai	258, 264, 260, 176	100	U+005e U+0079
ĩ$	ĩ	-tĩ, aĩ	260, 277, 278, 271	100	U+0129 U+0024
^d	d	dobrar, defecar	176, 178	100	U+005e U+0064
g	g	coger, anguila de agua dulce	176	100	U+0067
^c	c	comida, carne	176	100	U+005e U+0063
c̷	c̷	munc̷u, c̷ac̷a-g	258, 264, 271	100	U+0063 U+0337
c	c	sofocar, cucaracha	176	100	U+0063
