Grapheme	IPA	Frequency
^š	š	63
a	a	849
β	β	146
a$	a	225
^m	m	94
i$	i	198
i	i	438
+	?+	282
p	p	124
o	o	420
t	t	224
o$	o	136
^p	p	83
r	r	138
s$	s	19
č	č	54
ṣ̌	ṣ̌	77
^k	k	107
m	m	135
s	s	105
ã$	ã	38
ʔ	ʔ	198
õ$	õ	22
^w	w	40
k	k	262
ɨ	ɨ	395
^β	β	121
š$	š	6
^i	i	45
š	š	109
-	<?>	744
$	NULL	342
^n	n	86
^t	t	101
ĩ$	ĩ	41
^y	y	40
ĩ	ĩ	83
n	n	257
h	h	17
^h	h	101
w	w	80
ɨ$	ɨ	79
^o	o	25
ã	ã	91
^a	a	28
č$	č	1
^ṣ̌	ṣ̌	44
^r	r	51
ɨ̃$	ɨ̃	8
y	y	68
^ɨ	ɨ	14
c̷	c̷	30
^ɨ̃$	ɨ̃	1
aa$	aː	1
^	NULL	20
^č	č	13
^c̷	c̷	12
.	<?>	9
^s	s	22
õ	õ	48
ii$	iː	1
oo$	oː	1
ɨ̃	ɨ̃	25
^'m	m	1
d	d	6
č̣s	č̣s	1
e	e	9
b	b	1
ǰ	ǰ	3
u	u	2
m$	m	1
l	l	3
^ǰ	ǰ	1
ii	iː	5
^b	b	1
oo	oː	1
^e	e	1
rr	rr	3
e$	e	3
ee	eː	1
^ĩ	ĩ	4
^d	d	1
^l	l	1
t$	t	1
g	g	1
^kʷ	kʷ	1
aa	aː	2
^ɨɨ	ɨː	1
^ɨ̃	ɨ̃	1
