Grapheme	IPA	Frequency
...	+
^...	NULL
...$	NULL
-...	NULL
(	NULL	
)	NULL	
[	NULL	
]	NULL	
^d	d	55
a	a	522
t	t	101
ɨ$	ɨ	102
^t	t	92
i$	i	147
^p	p	81
ɔ	ɔ	73
n	n	65
e$	e	218
oo	oː	2
^r	ɾ	149
i	i	270
p	p	96
u$	u	70
'r	ɾ	48
e	e	183
u	u	149
^ǰ	dʒ	21
k	k	197
b	b	51
ɨ	ɨ	169
r	ɾ	401
a$	a	223
^k	k	90
^b	b	61
ɔ$	ɔ	51
-	+	215
ĩ	ĩ	10
ũ	ũ	9
ũ$	ũ	9
^ɲ	ɲ	31
'b	b	9
^'d	d	9
č	tʃ	81
'č	tʃ	8
o	o	205
m	m	94
ɨ̃	ɨ̃	4
ɨ̃$	ɨ̃	4
^h	h	45
'h	h	11
æ$	æ	94
^'p	p	9
d	d	61
æ	æ	97
ã	ã	51
^'n	n	5
aa	aː	15
^n	n	37
æ̃$	æ̃	7
^'y	j	5
h	h	194
o$	o	120
^m	m	54
^'r	ɾ	9
ãã	ãː	2
ẽ$	ẽ	10
w	w	6
β	β	106
'u	u	4
^i	i	42
^č	tʃ	64
ã$	ã	19
^ɨ$	ɨ	2
^β	β	77
'β	β	9
'm	m	7
õ	õ	29
õ$	õ	12
ǰ	dʒ	57
^'b	b	8
s	s	35
^ɨ̃	ɨ̃	1
't	t	20
ẽ	ẽ	4
^'k	k	6
ɔ̃	ɔ̃	15
^'m	m	3
'a	a	14
ĩ$	ĩ	7
p$	p	1
^s	s	31
+	+	9
$	NULL	44
^	NULL	39
ɲ	ɲ	45
'k	k	17
.	NULL	42
'ǰ	dʒ	4
^u	u	17
^a	a	15
^o	o	17
ɨɨ	ɨː	4
y	j	8
^'β	β	10
ee	eː	3
^'t	t	6
^'u	u	1
'ɨ	ɨ	2
ĩĩ	ĩː	3
ææ	æː	5
^'ǰ	dʒ	1
'n	n	3
^'ɲ	ɲ	1
t$	t	1
g	g	2
β$	β	1
š	ʃ	12
^e	e	6
ii	iː	8
ɨ̃ɨ̃	ɨ̃	1
^'a	a	5
^'i	i	3
^y	j	15
'p	p	4
^š	ʃ	2
'i	i	3
^w	w	4
uu	uː	3
^ɔ	ɔ	3
ɔɔ	ɔː	1
'd	d	13
'æ	æ	3
^l	l	2
'e	e	3
ææ$	æː	2
ɔ̃$	ɔ̃	2
'l	l	1
ee$	eː	1
æ̃	æ̃	9
^'č	tʃ	2
^'s	s	1
^ɨ	ɨ	5
l	l	3
^o$	o	1
^ɔ$	ɔ	1
^u$	u	2
'ã	ã	1
^ũ	ũ	2
^'h	h	1
^õ	õ	2
'w	w	2
õõ$	õ	1
^ii	iː	1
^uu	uː	1
'ɲ	ɲ	1
^oo$	oː	1
aa$	aː	1
f	f	1
'æ̃	æ̃	1
^-	NULL	
-$	NULL	
--	+	
_-	+	
_	+	
-_	+	
?	?	
