Grapheme	IPA	Frequency
(	NULL	
)	NULL	
[	NULL	
]	NULL	
^m	m	83
a	a	728
i$	i	228
i	i	398
š	ʃ	54
p	p	115
o$	o	136
c̷	ts	23
a$	a	248
ṣ̌	ʂ	83
ɨ	ɨ	343
n	n	242
ɨ$	ɨ	82
-	+	461
t	t	178
m	m	116
č	tʃ	32
^k	k	96
^ṣ̌	ʂ	49
β	β	66
k	k	177
^t	t	67
s	s	95
o	o	311
$	NULL	311
^h	h	122
^β	β	101
ṣ̌$	ʂ	1
^i	i	32
r	ɾ	98
^č	tʃ	55
^a	a	27
w	w	71
^n	n	80
ʔ	ʔ	82
^o	o	16
^w	w	41
'ʔ	ʔ	2
^y	j	36
^c̷	ts	22
+	+	43
h	h	21
^r	ɾ	54
^p	p	73
^ɨ	ɨ	8
y	j	42
^ɨ$	ɨ	1
^s	s	24
^š	ʃ	20
ii$	iː	2
oo$	oː	5
ii	iː	6
e$	e	1
s$	s	3
š$	ʃ	1
'r	ɾ	2
oo	oː	6
aa	aː	11
'k	k	1
^	NULL	10
b	b	2
^ɨɨ	ɨː	1
^aa	aː	1
ɨɨ	ɨː	1
e	e	1
^-	NULL	
-$	NULL	
--	+	
_-	+	
_	+	
-_	+	
?	?	
