Grapheme	IPA	Frequency
(	NULL	
)	NULL	
[	NULL	
]	NULL	
^m	m	46
e	e	381
š	ʃ	119
i$	i	214
i	i	451
-	+	708
h	h	216
a	a	862
^w	w	51
p	p	106
a$	a	195
^	NULL	95
w	w	170
^e	e	253
y	j	93
o$	o	111
k	k	237
ɓ	ɓ	86
kʷ	kʷ	90
^h	h	51
^n	n	14
s	s	99
n	n	200
o	o	339
x	x	245
^x	x	44
^ɓ	ɓ	50
^kʷ	kʷ	37
^č	tʃ	14
t	t	33
^a	a	33
č	tʃ	49
'w	w	2
m	m	88
+	+	22
e$	e	170
^i	i	32
ʔ	ʔ	105
^p	p	29
^s	s	42
$	NULL	228
ɲ	ɲ	25
'o$	o	1
^pw	p w	1
^k	k	53
^ɗ	ɗ	24
ɗ	ɗ	19
d	d	4
^o	o	20
ee$	eː	19
^y	j	13
^š	ʃ	34
ii$	iː	10
^t	t	19
oo	oː	5
'm	m	5
^ɲ	ɲ	1
aa	aː	20
'a$	a	2
'a	a	1
ʔ$	ʔ	9
ee	eː	27
^b	b	6
'h	h	4
'ɓ	ɓ	1
'n	n	3
's	s	5
b	b	4
aa$	aː	6
ooo$	oːo	1
ʔh	ʔ h	1
'k	k	4
ii	iː	8
oo$	oː	2
'e	e	3
'š	ʃ	1
l	l	1
^'y	j	1
^ee	eː	3
'ɲ	ɲ	1
'p	p	1
't	t	1
'y	j	1
^'i	i	1
^Es	e s	1
^-	NULL	
-$	NULL	
--	+	
_-	+	
_	+	
-_	+	
?	?	
