Grapheme	IPA	Frequency
(	NULL	
)	NULL	
[	NULL	
]	NULL	
^m	m	32
e	e	238
š	ʃ	85
i$	i	160
^k	k	98
i	i	382
a	a	527
-	+	725
p	p	71
o	o	216
^n	n	15
a$	a	166
+	+	67
h	h	77
^e	e	194
b	b	49
w	w	106
kw	kʷ	262
e$	e	273
^w	w	22
n	n	113
d	d	11
x	x	189
o$	o	73
'n	n	10
^b	b	53
s	s	88
t	t	50
^t	t	21
aa$	aː	7
aa	aː	22
^a	a	35
^s	s	25
y	j	43
ʔ	ʔ	60
^č	tʃ	16
č	tʃ	31
^p	p	20
^kw	kʷ	22
'a	a	1
'm	m	13
oo$	oː	2
k	k	82
^h	h	20
'k	k	3
^d	d	28
^i	i	21
's	s	6
^x	x	28
^'ʔ	ʔ	1
^š	ʃ	29
'h	h	1
ii$	iː	7
^ʔ	ʔ	3
^o	o	12
ii	iː	12
m	m	46
'kw	kʷ	1
^y	j	11
^ɲ	ɲ	2
ee	eː	11
'x	x	2
'b	b	1
ɲ	ɲ	11
'o$	o	1
ts	ts	2
'w	w	4
ee$	eː	21
'ɲ	ɲ	8
oo	oː	1
'š	ʃ	2
^oo	oː	1
^	NULL	1
^-	NULL	
-$	NULL	
--	+	
_-	+	
_	+	
-_	+	
?	?	
