Grapheme	IPA	Frequency
^m	m	43
u	u	175
n	n	413
d	d	1
o$	o	128
^ɬ	ɬ	18
a	a	896
k	k	106
m̉	m̉	17
-	<?>	1164
ɓ	ɓ	72
a$	a	444
^β	β	15
s	s	121
kʷ	kʷ	123
^ɓ	ɓ	89
n̉	n̉	65
^w	w	37
i	i	371
ʔw	ʔw	6
s$	s	51
^ɗ	ɗ	81
ɗ	ɗ	67
ʔ	ʔ	148
β	β	50
ɬ	ɬ	143
e	e	327
i$	i	146
^p	p	68
m$	m	6
h	h	104
r	r	170
^s	s	60
^t	t	91
o	o	411
m	m	141
p	p	100
h$	h	33
l	l	192
č	č	116
^o	o	23
w	w	143
^i	i	24
^l	l	45
e$	e	125
t	t	100
^č	č	74
^k	k	75
nn	nn	9
^y	y	31
ɬ$	ɬ	45
^h	h	100
y	y	110
u$	u	19
^r	r	30
^kʷ	kʷ	15
^a	a	49
^n	n	22
n$	n	3
^u	u	18
n̉$	n̉	26
^e	e	23
^b	b	5
ns	ns	5
m̉$	m̉	3
l$	l	7
r$	r	1
rs	rs	1
nh	nh	1
g	g	1
^d	d	2
ʔ$	ʔ	1
