Grapheme	IPA	Note
^mundo$	m ũ d u	Brazilian Portuguese pronunciation
^terreno$	t e ʁ e n u
^solo$	s ɔ l u
^chão$	ʃ ɐ̃ũ
^pó$	p ɔ
^lama$	l ɐ m ɐ
^lodo$	l ɔ d u
^areia$	a ɾ ei ɐ
^montanha$	m õ t ɐ ɲ ɐ
^morro$	m ɔ ʁ u
^penhasco$	p e ɲ a ʃ k u
^precipício$	p ɾ e s i p i s j u
^campo$	k ɐ̃ p u
^planície$	p l ɐ n i s i i
^savannah$	s a v ɐ̃ n a
^vale$	v a l i
^ilha$	i ʎ ɐ
^terra_firme$	t ɛ ʁ ɐ + f i ʁ m i
^margem$	m a ʁ ʒ ẽĩ
^costa$	k ɔ ʃ t ɐ
^praia$	p ɾ ai ɐ
^caverna$	k a v ɛ ʁ n ɐ
^gruta$	ɡ ɾ u t ɐ
^água$	a ɡ w ɐ
^mar$	m a ʁ
^calma$	k au m ɐ
^calmaria$	k au m a ɾ i ɐ
^tempestuoso$	t ẽ p e ʃ t u ɔ z u
^espuma$	i ʃ p u m ɐ
^oceano$	o s i ɐ n u
^lago$	l a ɡ u
^baía$	b a i ɐ
^laguna$	l a ɡ u n ɐ
^recife$	ʁ e s i f i
^cabo$	k a b u
^promontório$	p ɾ o m õ t ɔ ɾ j u
^onda$	õ d ɐ
^maré$	m a ɾ ɛ
^maré_baixa$	m a ɾ ɛ + b ai ʃ ɐ
^maré_vazia$	m a ɾ ɛ + v a z i ɐ
^maré_alta$	m a ɾ ɛ + au t ɐ
^preamar$	p ɾ i ɐ m a ʁ
^praiamar$	p ɾ ai ɐ m a ʁ
^rio$	ʁ j ɔ
^riacho$	ʁ i a ʃ u
^córrego$	k ɔ ʁ e ɡ u
^remoinho$	ʁ e m oi ɲ u
^redemoinho$	ʁ e d e m oi ɲ u
^nascente$	n a ʃ s ẽ tʃ i
^poço$	p ɔ s u
^pântano$	p ɐ̃ t ɐ n u
^pantanal$	p ɐ̃ t ɐ n au
^cachoeira$	k a ʃ o ei ɾ ɐ
^cascata$	k a ʃ k a t ɐ
^bosque$	b ɔ s k i
^floresta$	f l o ɾ ɛ ʃ t ɐ
^árvore$	a ʁ v u ɾ i
^madeira$	m a d ei ɾ ɐ
^pedra$	p ɛ d ɾ ɐ
^calhau$	k a ʎ au
^rocha$	ʁ ɔ ʃ ɐ
^terremoto$	t e ʁ e m ɔ t u
^céu$	s ɛu
^sol$	s ɔu
^lua$	l u a
^estrela$	i ʃ t ɾ ɛ l ɐ
^relâmpago$	ʁ e l ɐ̃ p a ɡ u
^trovão$	t ɾ o v ɐ̃ũ
^raio$	ʁ ai u
^tempestade$	t ẽ p e ʃ t a dʒ i
^arco-íris$	a ʁ k o i ɾ i ʃ
^luz$	l u ʃ
^escuridão$	i ʃ k u ɾ i d ɐ̃ũ
^sombra$	s õ b ɾ ɐ
^orvalho$	o ʁ v a ʎ u
^ar$	a ʁ
^vento$	v ẽ t u
^nuvem$	n u v ẽĩ
^nevoeiro$	n e v o ei ɾ u
^névoa$	n ɛ v u ɐ
^chuva$	ʃ u v ɐ
^neve$	n ɛ v i
^gelo$	ʒ ɛ l u
^tempo$	t ẽ p u
^fogo$	f ɔ ɡ u
^chama$	ʃ ɐ m ɐ
^fumaça$	f u m a s ɐ
^cinzas$	s ĩ z a ʃ
^brasas$	b ɾ a z a ʃ
^queimar$	k ei m a ʁ
^incendiar$	ĩ s ẽ dʒ i a ʁ
^queimar$	k ei m a ʁ
^arder$	a ʁ d e ʁ
^acender$	a s ẽ d e ʁ
^atear$	a tʃ i a ʁ
^extinguir$	i ʃ tʃ ĩ ɡ i ʁ
^fósforo$	f ɔ ʃ f u ɾ u
^lenha$	l e ɲ ɐ
^carvão$	k a ʁ v ɐ̃ũ
^mover$	m o v e ʁ
^virar$	v i ɾ a ʁ
^voltar$	v ɔu t a ʁ
^dar_a_volta$	d a ʁ + a + v ɔu t ɐ
^envolver$	ẽ v ɔu v e ʁ
^enrolar$	ẽ ʁ o l a ʁ
^rolar$	ʁ o l a ʁ
^deixar_cair$	d ei ʃ a ʁ + k a i ʁ
^torcer$	t o ʁ s e ʁ
^subir$	s u b i ʁ
^levantar$	l e v ɐ̃ t a ʁ
^içar$	i s a ʁ
^cair$	k a i ʁ
^gotejar$	ɡ o t e ʒ a ʁ
^escorrer$	i ʃ k o ʁ e ʁ
^atirar$	a tʃ i ɾ a ʁ
^arremessar$	a ʁ e m e s a ʁ
^lançar$	l ɐ̃ s a ʁ
^apanhar$	a p ɐ ɲ a ʁ
^agarrar$	a ɡ a ʁ a ʁ
^agitar$	a ʒ i t a ʁ
^fluir$	f l ui ʁ
^afundar$	a f ũ d a ʁ
^flutuar$	f l u t u a ʁ
^nadar$	n a d a ʁ
^mergulhar$	m e ʁ ɡ u ʎ a ʁ
^chapinhar$	ʃ a p i ɲ a ʁ
^navegar$	n a v e ɡ a ʁ
^voar$	v o a ʁ
^soprar$	s o p ɾ a ʁ
^rastejar$	ʁ a ʃ t e ʒ a ʁ
^arrastar-se$	a ʁ a ʃ t a ʁ s i
^ajoelhar$	a ʒ o e ʎ a ʁ
^agachar-se$	a ɡ a ʃ a ʁ s i
^escorregar$	i ʃ k o ʁ e ɡ a ʁ
^resvalar$	ʁ e ʒ v a l a ʁ
^saltar$	s au t a ʁ
^dar_um_pontapé$	d a ʁ + ũ + p õ t a p ɛ
^chutar$	ʃ u t a ʁ
^dançar$	d ɐ̃ s a ʁ
^andar$	ɐ̃ d a ʁ
^caminhar$	k ɐ m i ɲ a ʁ
^coxear$	k o ʃ i a ʁ
^correr$	k o ʁ e ʁ
^ir$	i ʁ
^subir$	s u b i ʁ
^trepar$	t ɾ e p a ʁ
^descer$	d e ʃ s e ʁ
^baixar$	b ai ʃ a ʁ
^sair$	s a i ʁ
^vir$	v i ʁ
^voltar$	v ɔu t a ʁ
^regressar$	ʁ e ɡ ɾ e s a ʁ
^partir$	p a ʁ tʃ i ʁ
^ir-se_embora$	i ʁ s i + ẽ b ɔ ɾ ɐ
^desaparecer$	d e z a p a ɾ e s e ʁ
^escapar$	i ʃ k a p a ʁ
^fugir$	f u ʒ i ʁ
^seguir$	s e ɡ i ʁ
^perseguir$	p e ʁ s e ɡ i ʁ
^chegar$	ʃ e ɡ a ʁ
^aproximar$	a p ɾ o s i m a ʁ
^entrar$	ẽ t ɾ a ʁ
^levar$	l e v a ʁ
^levar_na_mão$	l e v a ʁ + n a + m ɐ̃ũ
^levar_no_ombro$	l e v a ʁ + n u + õ b ɾ u
^levar_na_cabeça$	l e v a ʁ + n a + k a b ɛ s ɐ
^levar_debaixo_do_braço$	l e v a ʁ + d e b ai ʃ u + d u + b ɾ a s u
^trazer$	t ɾ a z e ʁ
^enviar$	ẽ v i a ʁ
^mandar$	m ɐ̃ d a ʁ
^conduzir$	k õ d u z i ʁ
^guiar$	ɡ j a ʁ
^dirigir$	dʒ i ɾ i ʒ i ʁ
^montar$	m õ t a ʁ
^empurrar$	ẽ p u ʁ a ʁ
^estrada$	i ʃ t ɾ a d ɐ
^caminho$	k ɐ m i ɲ u
^caminho$	k ɐ m i ɲ u
^vereda$	v e ɾ ɛ d ɐ
^ponte$	p õ tʃ i
^carruagem$	k a ʁ u a ʒ ẽĩ
^carroça$	k a ʁ ɔ s ɐ
^roda$	ʁ ɔ d ɐ
^eixo$	ei ʃ u
^jugo$	ʒ u ɡ u
^canga$	k ɐ̃ ɡ ɐ
^navio$	n a v j u
^bote$	b ɔ tʃ i
^barco$	b a ʁ k u
^canoa$	k ɐ n o ɐ
^jangada$	ʒ ɐ̃ ɡ a d ɐ
^balsa$	b au s ɐ
^remo$	ʁ ɛ m u
^remo$	ʁ ɛ m u
^remar$	ʁ e m a ʁ
^leme$	l ɛ m i
^mastro$	m a ʃ t ɾ u
^vela$	v ɛ l ɐ
^âncora$	ɐ̃ k u ɾ ɐ
^pôrto$	p o ʁ t u
^desembarcar$	d e z ẽ b a ʁ k a ʁ
^ter$	t e ʁ
^possuir$	p o s ui ʁ
^tomar$	t o m a ʁ
^agarrar$	a ɡ a ʁ a ʁ
^segurar$	s e ɡ u ɾ a ʁ
^agarrar$	a ɡ a ʁ a ʁ
^obter$	o b t e ʁ
^conseguir$	k õ s e ɡ i ʁ
^guardar$	ɡ w a ʁ d a ʁ
^conservar$	k õ s e ʁ v a ʁ
^coisa$	k oi z ɐ
^dar$	d a ʁ
^restituir$	ʁ e ʃ tʃ i t ui ʁ
^devolver$	d e v ɔu v e ʁ
^cuidar_de$	k ui d a ʁ + dʒ i
^preservar$	p ɾ e z e ʁ v a ʁ
^salvar$	s au v a ʁ
^destruir$	d e ʃ t ɾ ui ʁ
^danificar$	d ɐ n i f i k a ʁ
^ferir$	f e ɾ i ʁ
^estragar$	i ʃ t ɾ a ɡ a ʁ
^buscar$	b u ʃ k a ʁ
^procurar$	p ɾ o k u ɾ a ʁ
^achar$	a ʃ a ʁ
^encontrar$	ẽ k õ t ɾ a ʁ
^perder$	p e ʁ d e ʁ
^largar$	l a ʁ ɡ a ʁ
^soltar$	s ɔu t a ʁ
^dinheiro$	dʒ i ɲ ei ɾ u
^moeda$	m o ɛ d ɐ
^rico$	ʁ i k u
^pobre$	p ɔ b ɾ i
^mendigo$	m ẽ dʒ i ɡ u
^avarento$	a v a ɾ ẽ t u
^emprestar$	ẽ p ɾ e ʃ t a ʁ
^pedir_emprestado$	p e dʒ i ʁ + ẽ p ɾ e ʃ t a d u
^dever$	d e v e ʁ
^dívida$	dʒ i v i d ɐ
^pagar$	p a ɡ a ʁ
^conta$	k õ t ɐ
^imposto$	ĩ p o ʃ t u
^taxa$	t a ʃ ɐ
^alugar$	a l u ɡ a ʁ
^salário$	s a l a ɾ j u
^ganhar$	ɡ ɐ ɲ a ʁ
^comprar$	k õ p ɾ a ʁ
^vender$	v ẽ d e ʁ
^trocar$	t ɾ o k a ʁ
^negociante$	n e ɡ o s i ɐ̃ tʃ i
^mercado$	m e ʁ k a d u
^loja$	l ɔ ʒ ɐ
^preço$	p ɾ ɛ s u
^caro$	k a ɾ u
^barato$	b a ɾ a t u
^distribuir$	dʒ i ʃ t ɾ i b ui ʁ
^compartilhar$	k õ p a ʁ tʃ i ʎ a ʁ
^pesar$	p e z a ʁ
^depois$	d e p oi ʃ
^atrás$	a t ɾ a ʃ
^espaço$	i ʃ p a s u
^lugar$	l u ɡ a ʁ
^pôr$	p o ʁ
^sentar-se$	s ẽ t a ʁ s i
^deitar-se$	d ei t a ʁ s i
^estar_em_pé$	i ʃ t a ʁ + ẽĩ + p ɛ
^ficar_em_pé$	f i k a ʁ + ẽĩ + p ɛ
^ficar$	f i k a ʁ
^restos$	ʁ ɛ ʃ t u ʃ
^ao_lado_de$	a u + l a d u + dʒ i
^colecionar$	k o l e s j o n a ʁ
^reunir$	ʁ eu n i ʁ
^captar$	k a p t a ʁ
^empilhar$	ẽ p i ʎ a ʁ
^juntar$	ʒ ũ t a ʁ
^unir$	u n i ʁ
^separar$	s e p a ɾ a ʁ
^dividir$	dʒ i v i dʒ i ʁ
^abrir$	a b ɾ i ʁ
^aberto$	a b ɛ ʁ t u
^fechar$	f e ʃ a ʁ
^cobrir$	k o b ɾ i ʁ
^esconder$	i ʃ k õ d e ʁ
^debaixo$	d e b ai ʃ u
^abaixo$	a b ai ʃ u
^alto$	au t u
^elevado$	i l e v a d u
^baixo$	b ai ʃ u
^cume$	k u m i
^topo$	t ɔ p u
^fundo$	f ũ d u
^extremidade$	i ʃ t ɾ e m i d a dʒ i
^fim$	f ĩ
^ponta$	p õ t ɐ
^afiado$	a f i a d u
^agudo$	a ɡ u d u
^beira$	b ei ɾ ɐ
^borda$	b ɔ ʁ d ɐ
^lado$	l a d u
^meio$	m ei u
^centro$	s ẽ t ɾ u
^antes$	ɐ̃ t e ʃ
^perante$	p e ɾ ɐ̃ tʃ i
^frente$	f ɾ ẽ tʃ i
^direita$	dʒ i ɾ ei t ɐ
^esquerda$	i s k ɛ ʁ d ɐ
^perto$	p ɛ ʁ t u
^próximo$	p ɾ ɔ s i m u
^longe$	l õ ʒ i
^leste$	l ɛ ʃ tʃ i
^este$	ɛ ʃ tʃ i
^oeste$	o e ʃ tʃ i
^norte$	n ɔ ʁ tʃ i
^sul$	s uu
^dentro$	d ẽ t ɾ u
^crescer$	k ɾ e ʃ s e ʁ
^medir$	m e dʒ i ʁ
^palmo$	p au m u
^braça$	b ɾ a s ɐ
^grande$	ɡ ɾ ɐ̃ dʒ i
^pequeno$	p e k e n u
^comprido$	k õ p ɾ i d u
^alto$	au t u
^curto$	k u ʁ t u
^fora$	f ɔ ɾ ɐ
^largo$	l a ʁ ɡ u
^estreito$	i ʃ t ɾ ei t u
^grosso$	ɡ ɾ ɔ s u
^fino$	f i n u
^delgado$	d ɛu ɡ a d u
^fundo$	f ũ d u
^raso$	ʁ a z u
^baixo$	b ai ʃ u
^debaixo$	d e b ai ʃ u
^plano$	p l ɐ n u
^chato$	ʃ a t u
^direito$	dʒ i ɾ ei t u
^reto$	ʁ ɛ t u
^torcido$	t o ʁ s i d u
^torto$	t ɔ ʁ t u
^gancho$	ɡ ɐ̃ ʃ u
^esquina$	i s k i n ɐ
^canto$	k ɐ̃ t u
^cruz$	k ɾ u ʃ
^quadrado$	k w a d ɾ a d u
^em_cima$	ẽĩ + s i m ɐ
^sôbre$	s o b ɾ i
^redondo$	ʁ e d õ d u
^círculo$	s i ʁ k u l u
^roda$	ʁ ɔ d ɐ
^esfera$	i ʃ f e ɾ ɐ
^bola$	b o l ɐ
^linha$	l i ɲ ɐ
^buraco$	b u ɾ a k u
^parecido$	p a ɾ e s i d u
^mudar$	m u d a ʁ
^zero$	z ɛ ɾ u
^nada$	n a d ɐ
^um$	ũ
^uma$	u m ɐ
^dez$	d ɛ ʃ
^onze$	õ z i
^doze$	d o z i
^quinze$	k ĩ z i
^vinte$	v ĩ tʃ i
^cento$	s ẽ t u
^cem$	s ẽĩ
^mil$	m iu
^contar$	k õ t a ʁ
^cada$	k a d ɐ
^tudo$	t u d u
^muito$	m ũ j t u
^muitos$	m ũ j t u ʃ
^mais$	m ai ʃ
^pouco$	p o k u
^poucos$	p o k u ʃ
^bastante$	b a ʃ t ɐ̃ tʃ i
^suficiente$	s u f i s i ẽ tʃ i
^alguns$	au ɡ ũ ʃ
^multidão$	m uu tʃ i d ɐ̃ũ
^dois$	d oi ʃ
^duas$	d u a ʃ
^cheio$	ʃ ei u
^vazio$	v a z j u
^parte$	p a ʁ tʃ i
^pedaço$	p e d a s u
^peça$	p ɛ s ɐ
^metade$	m e t a dʒ i
^três$	t ɾ e ʃ
^só$	s ɔ
^somente$	s o m ẽ tʃ i
^primeiro$	p ɾ i m ei ɾ u
^último$	uu tʃ i m u
^segundo$	s e ɡ ũ d u
^par$	p a ʁ
^duas_vezes$	d u a ʃ + v ɛ z e ʃ
^quatro$	k w a t ɾ u
^terceiro$	t e ʁ s ei ɾ u
^três_vezes$	t ɾ e ʃ + v ɛ z e ʃ
^cinco$	s ĩ k u
^seis$	s ei ʃ
^sete$	s ɛ tʃ i
^oito$	oi t u
^nove$	n ɔ v i
^tempo$	t ẽ p u
^idade$	i d a dʒ i
^novo$	n ɔ v u
^jovem$	ʒ ɔ v ẽĩ
^novo$	n ɔ v u
^velho$	v ɛ ʎ u
^cedo$	s ɛ d u
^tarde$	t a ʁ dʒ i
^agora$	a ɡ ɔ ɾ ɐ
^de_imediato$	dʒ i + i m e dʒ i a t u
^rápido$	ʁ a p i d u
^ligeiro$	l i ʒ ei ɾ u
^vagaroso$	v a ɡ a ɾ ɔ z u
^devagar$	d e v a ɡ a ʁ
^apressar$	a p ɾ e s a ʁ
^demorar$	d e m o ɾ a ʁ
^atrasar$	a t ɾ a z a ʁ
^começar$	k o m e s a ʁ
^durar$	d u ɾ a ʁ
^suportar$	s u p o ʁ t a ʁ
^fim$	f ĩ
^completar$	k õ p l e t a ʁ
^acabar$	a k a b a ʁ
^parar$	p a ɾ a ʁ
^cessar$	s e s a ʁ
^pronto$	p ɾ õ t u
^sempre$	s ẽ p ɾ i
^amiúde$	ɐ m i u dʒ i
^às_vezes$	a ʃ + v ɛ z e ʃ
^em_breve$	ẽĩ + b ɾ ɛ v i
^por_muito_tempo$	p u ʁ + m ũ j t u + t ẽ p u
^nunca$	n ũ k ɐ
^jamais$	ʒ ɐ m ai ʃ
^outra_vez$	o t ɾ ɐ + v e ʃ
^de_novo$	dʒ i + n ɔ v u
^dia$	dʒ i ɐ
^noite$	n oi tʃ i
^alvorada$	au v o ɾ a d ɐ
^amanhecer$	ɐ m ɐ ɲ e s e ʁ
^manhã$	m ɐ ɲ ɐ̃
^meio_dia$	m ei u + dʒ i ɐ
