Grapheme	IPA	Frequency
^n	n	93
ɨ	ɨ	374
t	t	605
ɨ$	ɨ	83
^m	m	110
a	a	699
-	<?>	348
i$	i	593
^p	p	99
o	o	424
o$	o	175
i	i	406
p	p	109
^č	č	58
w	w	63
š	š	68
n	n	214
ã$	ã	48
^a	a	39
m	m	116
^k	k	148
^ṣ̌	ṣ̌	67
β	β	106
a$	a	232
s	s	98
ã	ã	89
k	k	274
^h	h	94
^õ	õ	1
ṣ̌$	ṣ̌	13
$	NULL	59
^β	β	131
ṣ̌	ṣ̌	110
š$	š	9
r	r	148
^i	i	45
č	č	62
õ$	õ	38
^w	w	43
^s	s	31
+	?+	52
aa	aː	17
õ	õ	49
ii$	iː	5
^o	o	43
ĩ$	ĩ	31
^r	r	93
ii	iː	9
^t	t	80
ĩ	ĩ	43
^y	y	70
y	y	52
ɨ̃	ɨ̃	35
^ii	iː	1
^c̷	c̷	24
^e	e	2
aa$	aː	2
ɨ̃$	ɨ̃	18
s$	s	18
^ɨ	ɨ	5
h	h	16
b	b	2
^b	b	3
^š	š	14
oo$	oː	4
^ĩ	ĩ	3
c̷	c̷	21
oo	oː	6
ee	eː	3
ɨɨ	ɨː	9
ɨɨ$	ɨː	2
^	NULL	36
iii	iːi	1
e	e	3
e$	e	3
<̃>	?<̃>	3
c	c	1
n$	n	1
^ɨ̃	ɨ̃	1
