Grapheme	IPA	Frequency
^m	m	112
u	u	365
n	n	496
d	d	327
o$	o	540
^t	t	104
i	i	567
e	e	937
rr	rr	56
a$	a	396
^s	s	110
l	l	305
^p	p	179
o	o	463
v	v	97
^l	l	63
^a	a	171
r	r	645
t	t	425
a	a	1127
ɲ	ɲ	38
m	m	242
^c	c	252
c	c	271
^b	b	79
p	p	148
^ll	ll	15
^v	v	56
ll	ll	73
e$	e	155
^i	i	25
s	s	251
+	?+	121
f	f	41
^r	r	72
b	b	174
y	y	18
^g	g	41
g	g	134
r$	r	462
^e	e	113
^o	o	40
é	é	12
h	h	13
í	í	36
j	j	77
l$	l	36
z	z	64
q	q	18
^á	á	6
á	á	30
d$	d	16
s$	s	61
z$	z	21
^n	n	45
^h	h	86
^f	f	50
^q	q	10
rs	rs	28
x	x	16
ós	ós	2
ó	ó	49
n$	n	63
ch	ch	53
é$	é	3
^d	d	78
^y	y	9
ú$	ú	2
^u	u	9
^é	é	1
y$	y	4
^j	j	20
í$	í	3
^ch	ch	10
ns	ns	15
^z	z	7
ü	ü	4
^a$	a	1
és$	és	2
ú	ú	8
ls	ls	5
^ɲ	ɲ	1
dh	dh	1
ee	eː	4
^ú	ú	1
j$	j	1
nh	nh	1
bs	bs	2
^y$	y	1
i$	i	1
^o$	o	1
u$	u	1
és	és	2
^D	<?>	1
^í	í	1
