Grapheme	IPA	Note
^mundo$	m u n d o	Latin American Spanish pronunciation
^tierra$	t j ɛ r a
^suelo$	s w e l o
^polvo$	p o l β o
^lodo$	l o ð o
^arena$	a ɾ e n a
^montaɲa$	m o n t a ɲ a
^loma$	l o m a
^cerro$	s ɛ r o
^acantilado$	a k a n t i l a ð o
^barranca$	b a r a n k a
^pampa$	p a m p a
^llanura$	ɟ ʝ a n u ɾ a
^campo$	k a m p o
^valle$	b a ʝ e
^isla$	i s l a
^continente$	k o n t i n e n t e
^tierra_firme$	t j ɛ r a + f i ɾ m e
^ribera$	r i β ɛ ɾ a
^playa$	p l a ʝ a
^costa$	k o s t a
^cueva$	k w e β a
^gruta$	ɡ ɾ u t a
^agua$	a ɣ w a
^mar$	m a ɾ
^calma$	k a l m a
^agitado$	a x i t a ð o
^borrascoso$	b o r a s k o s o
^espuma$	ɛ s p u m a
^océano$	o s e a n o
^lago$	l a ɣ o
^golfo$	ɡ o l f o
^bahía$	b a i a
^laguna$	l a ɣ u n a
^arrecife$	a r e s i f e
^promontorio$	p ɾ o m o n t o ɾ j o
^punta$	p u n t a
^ola$	o l a
^marea$	m a ɾ e a
^bajamar$	b a x a m a ɾ
^pleamar$	p l e a m a ɾ
^río$	r i o
^corriente$	k o r j e n t e
^arroyo$	a r o ʝ o
^remolino$	r e m o l i n o
^manantial$	m a n a n t j a l
^pozo$	p o s o
^pantano$	p a n t a n o
^cascada$	k a s k a ð a
^salto$	s a l t o
^bosque$	b o s k e
^selva$	s ɛ l β a
^árbol$	a ɾ β o l
^madera$	m a ð ɛ ɾ a
^piedra$	p j e ð ɾ a
^roca$	r o k a
^terremoto$	t ɛ r e m o t o
^temblor$	t e m b l o ɾ
^cielo$	s j e l o
^sol$	s o l
^luna$	l u n a
^estrella$	ɛ s t ɾ e ʝ a
^relámpago$	r e l a m p a ɣ o
^trueno$	t ɾ w e n o
^rayo$	r a ʝ o
^tempestad$	t e m p ɛ s t a ð
^tormenta$	t o ɾ m e n t a
^arco_iris$	a ɾ k o + i ɾ i s
^luz$	l u s
^oscuridad$	o s k u ɾ i ð a ð
^tinieblas$	t i n j e β l a s
^sombra$	s o m b ɾ a
^rocío$	r o s i o
^aire$	a i ɾ e
^viento$	b j e n t o
^nube$	n u β e
^neblina$	n e β l i n a
^niebla$	n j e β l a
^lluvia$	ɟ ʝ u β j a
^nieve$	n j e β e
^hielo$	ɟ ʝ e l o
^tiempo$	t j e m p o
^fuego$	f w e ɣ o
^llama$	ɟ ʝ a m a
^humo$	u m o
^cenizas$	s e n i s a s
^brasas$	b ɾ a s a s
^quemar$	k e m a ɾ
^quemarse$	k e m a ɾ s e
^arder$	a ɾ ð ɛ ɾ
^encender$	e n s e n d ɛ ɾ
^apagar$	a p a ɣ a ɾ
^extinguir$	ɛ k s t i n ɡ i ɾ
^fósforo$	f o s f o ɾ o
^cerilla$	s ɛ ɾ i ʝ a
^leɲa$	l e ɲ a
^carbón$	k a ɾ β o n
^mover$	m o β ɛ ɾ
^volcar$	b o l k a ɾ
^dar_vuelta$	d a ɾ + β w ɛ l t a
^dar_vuelta$	d a ɾ + β w ɛ l t a
^voltear$	b o l t e a ɾ
^enrollar$	e n r o ʝ a ɾ
^envolver$	e m b o l β ɛ ɾ
^rodar$	r o ð a ɾ
^arrollar$	a r o ʝ a ɾ
^enrollar$	e n r o ʝ a ɾ
^dejar_caer$	d e x a ɾ + k a ɛ ɾ
^torcer$	t o ɾ s ɛ ɾ
^ascender$	a s e n d ɛ ɾ
^subir$	s u β i ɾ
^levantar$	l e β a n t a ɾ
