Grapheme	IPA	Frequency
^h	h	449
n	n	406
d	d	345
a$	a	405
^m	m	133
u	u	661
k	k	99
a	a	1149
i$	i	301
^	NULL	129
-	<?>	299
o$	o	69
^r	r	135
p	p	118
i	i	582
h	h	226
y	y	614
r	r	478
u$	u	300
t	t	543
ĩ$	ĩ	74
^t	t	135
ĩ	ĩ	119
č	č	218
ã$	ã	107
s	s	230
^w	w	126
m	m	190
ũ$	ũ	73
ã	ã	240
^s	s	154
w	w	228
^n	n	189
ẽ	ẽ	13
ũ	ũ	265
õ$	õ	36
+	?+	117
ɲ	ɲ	65
^p	p	77
e	e	137
e$	e	94
y$	y	223
^d	d	81
õ	õ	49
o	o	83
^k	k	116
ẽ$	ẽ	14
b	b	33
^b	b	25
$	NULL	77
^č	č	2
nn	nn	2
^hw	hw	8
ds	dz	2
^y	y	10
ns	ns	6
hw	hw	9
š	š	1
^kw	kʷ	3
^ns	ns	2
rr	rr	1
c̷$	c̷	1
^d$	d	2
tt	tt	2
nw	nw	1
