Grapheme	IPA	Frequency
...-	+
...	+
...$	NULL
^...	NULL
(	NULL	
)	NULL	
[	NULL	
]	NULL	
^m	m	128
a	a	1030
i	i	628
-	+	775
t	t	339
o$	o	155
i$	i	332
p	p	171
ɨ	ɨ	490
β	β	274
ɨ$	ɨ	77
š	ʃ	94
ã	ã	146
č	tʃ	120
+	+	352
k	k	703
y	j	80
a$	a	314
m	m	248
ĩ	ĩ	68
s	s	113
n	n	286
r	ɾ	218
^β	β	169
ɨ̃	ɨ̃	42
ṣ̌	ʂ	131
ɨ̃$	ɨ̃	11
^t	t	108
ã$	ã	25
o	o	439
ṣ̌$	ʂ	9
^ĩ	ĩ	4
^a	a	77
^ṣ̌	ʂ	76
^n	n	112
ii$	iː	9
^i	i	52
^k	k	145
^o	o	39
^p	p	108
e	e	1
š$	ʃ	2
õ	õ	73
^č	tʃ	67
ii	iː	12
ĩ$	ĩ	344
oo	oː	12
^c̷	ts	21
^y	j	49
ʔ	ʔ	1
^ã	ã	12
^ɨ	ɨ	25
c̷	ts	38
^r	ɾ	70
s$	s	42
^ɨ̃$	ɨ̃	1
õ$	õ	17
^a$	a	1
kk	k k	14
h	h	4
aa$	aː	1
^õ	õ	11
^š	ʃ	20
^ɨ̃	ɨ̃	2
^ɨɨ$	ɨː	1
^s	s	34
oo$	oː	3
aa	aː	5
^aa	aː	2
b	b	1
ɲ	ɲ	1
ɨɨ	ɨː	8
^	NULL	11
<'>	NULL	1
r$	ɾ	1
^h	h	1
n$	n	1
…	+	27
^oo	oː	1
$	NULL	1
^-	NULL	
-$	NULL	
--	+	
_-	+	
_	+	
-_	+	
?	?	
