Wordlist has 24 languages, and 1310 concepts in 26685 words.
Minimum mutual coverage is at 58 concept pairs.
Average coverage is at 0.50

Pairwise alignment with threshold 0.275 and delta threshold 0.10.
Language        Family             Concepts    Spanish    Portuguese    Combined    SpanishP    PortugueseP    CombinedP
--------------  ---------------  ----------  ---------  ------------  ----------  ----------  -------------  -----------
MashcoPiro      Arawakan                459       3.00          3.00        3.00        0.01           0.01         0.01
Aymara          Aymaran                 957       6.50          8.00        9.50        0.01           0.01         0.01
Cayuvava        Cayubaba                662       1.50          1.83        1.83        0.00           0.00         0.00
PacaasNovos     Chapacuran              186       0.00          0.00        0.00        0.00           0.00         0.00
Aguaruna        Chicham                1160       3.50          4.50        4.50        0.00           0.00         0.00
Itonama         Itonama                 676       1.00          1.00        1.00        0.00           0.00         0.00
Moseten         Mosetén-Chimané        1035      10.00         13.00       14.00        0.01           0.01         0.01
Movima          Movima                 1036       2.00          6.00        6.00        0.00           0.01         0.01
Araona          Pano-Tacanan            802       0.00          1.00        1.00        0.00           0.00         0.00
Cashibo         Pano-Tacanan            648       0.50          0.50        0.50        0.00           0.00         0.00
Catuquina       Pano-Tacanan           1055       3.00          3.00        4.00        0.00           0.00         0.00
Cavinena        Pano-Tacanan            943       5.00          5.00        6.00        0.01           0.01         0.01
Chacobo         Pano-Tacanan            836       0.00          0.00        0.00        0.00           0.00         0.00
EseEjja         Pano-Tacanan            724       0.00          1.00        1.00        0.00           0.00         0.00
HuarayoEseEjja  Pano-Tacanan            659       0.00          0.00        0.00        0.00           0.00         0.00
Pacahuara       Pano-Tacanan             93       0.00          0.00        0.00        0.00           0.00         0.00
ShipiboConibo   Pano-Tacanan            918       2.00          2.00        2.00        0.00           0.00         0.00
Tacana          Pano-Tacanan            903       0.00          1.00        1.00        0.00           0.00         0.00
Yaminahua       Pano-Tacanan           1129       7.50         10.00       10.00        0.01           0.01         0.01
Yagua           Peba-Yagua             1179       2.50          6.25        6.25        0.00           0.01         0.01
Threshold: 0.275.
Language          tp     tn    fp    fn    precision    recall    F1 score    accuracy
--------------  ----  -----  ----  ----  -----------  --------  ----------  ----------
Aguaruna          19   1212     2    25        0.905     0.432       0.585       0.979
Araona             5   1108     9     3        0.357     0.625       0.455       0.989
Aymara            35    958    17    16        0.673     0.686       0.680       0.968
Cashibo            0    737     7     0        0.000     0.000       0.000       0.991
Catuquina         19   1067    12    26        0.613     0.422       0.500       0.966
Cavinena          22    952     4    27        0.846     0.449       0.587       0.969
Cayuvava          16   1104    18    16        0.471     0.500       0.485       0.971
Chacobo            2    992    16     9        0.111     0.182       0.138       0.975
EseEjja            3    956     2     7        0.600     0.300       0.400       0.991
HuarayoEseEjja     0    708     0     2        0.000     0.000       0.000       0.997
Itonama            8    880     3    11        0.727     0.421       0.533       0.984
MashcoPiro         4    547    11     7        0.267     0.364       0.308       0.968
Moseten           87   1032    11    32        0.888     0.731       0.802       0.963
Movima            67    949     0    22        1.000     0.753       0.859       0.979
PacaasNovos        1    227     0     0        1.000     1.000       1.000       1.000
Pacahuara          1     98     1     0        0.500     1.000       0.667       0.990
ShipiboConibo     21   1272    15    26        0.583     0.447       0.506       0.969
Tacana            12   1157     6    15        0.667     0.444       0.533       0.982
Yagua             31   1678    10    57        0.756     0.352       0.481       0.962
Yaminahua         57   1209    14    67        0.803     0.460       0.585       0.940
Total            410  18843   158   368        0.722     0.527       0.609       0.973
Total: borrowed 778, inherited 19001, total 19779
Threshold: 0.275.
Language Family      tp     tn    fp    fn    precision    recall    F1 score    accuracy
-----------------  ----  -----  ----  ----  -----------  --------  ----------  ----------
Arawakan              4    547    11     7        0.267     0.364       0.308       0.968
Aymaran              35    958    17    16        0.673     0.686       0.680       0.968
Cayubaba             16   1104    18    16        0.471     0.500       0.485       0.971
Chapacuran            1    227     0     0        1.000     1.000       1.000       1.000
Chicham              19   1212     2    25        0.905     0.432       0.585       0.979
Itonama               8    880     3    11        0.727     0.421       0.533       0.984
Mosetén-Chimané      87   1032    11    32        0.888     0.731       0.802       0.963
Movima               67    949     0    22        1.000     0.753       0.859       0.979
Pano-Tacanan        142  10256    86   182        0.623     0.438       0.514       0.975
Peba-Yagua           31   1678    10    57        0.756     0.352       0.481       0.962
Total               410  18843   158   368        0.722     0.527       0.609       0.973
Total: borrowed 778, inherited 19001, total 19779
