Wordlist has 24 languages, and 1310 concepts in 26685 words.
Minimum mutual coverage is at 58 concept pairs.
Average coverage is at 0.50

Pairwise alignment with threshold 0.275.
Family           Language          Concepts    Spanish    SpanishLA    Portuguese    PortugueseBR    Combined    SpanishP    SpanishLAP    PortugueseP    PortugueseBRP    CombinedP
---------------  --------------  ----------  ---------  -----------  ------------  --------------  ----------  ----------  ------------  -------------  ---------------  -----------
Arawakan         MashcoPiro             459       9.50         8.50         12.50           13.50       17.00        0.02          0.02           0.03             0.03         0.04
Aymaran          Aymara                 957      48.33        49.33         25.50           25.00       56.33        0.05          0.05           0.03             0.03         0.06
Cayubaba         Cayuvava               662      17.67        16.67         14.75           15.08       23.75        0.03          0.03           0.02             0.02         0.04
Chapacuran       PacaasNovos            186       1.00         1.00          1.00            1.00        1.00        0.01          0.01           0.01             0.01         0.01
Chicham          Aguaruna              1160      15.00        18.00         13.00           14.00       21.50        0.01          0.02           0.01             0.01         0.02
Itonama          Itonama                676       6.00         7.00          9.00            9.00       11.00        0.01          0.01           0.01             0.01         0.02
Mosetén-Chimané  Moseten               1035      87.50        86.50         55.50           55.50       95.00        0.08          0.08           0.05             0.05         0.09
Movima           Movima                1036      64.00        65.00         35.00           34.00       69.00        0.06          0.06           0.03             0.03         0.07
Pano-Tacanan     Araona                 802      10.50         9.50          4.50            8.00       15.50        0.01          0.01           0.01             0.01         0.02
Pano-Tacanan     Cashibo                648       3.00         3.00          4.00            5.00        6.50        0.00          0.00           0.01             0.01         0.01
Pano-Tacanan     Catuquina             1055      19.00        20.00         21.00           21.00       28.00        0.02          0.02           0.02             0.02         0.03
Pano-Tacanan     Cavinena               943      20.50        23.50         15.00           14.00       28.00        0.02          0.02           0.02             0.01         0.03
Pano-Tacanan     Chacobo                836       9.00         9.50          9.00            9.50       16.00        0.01          0.01           0.01             0.01         0.02
Pano-Tacanan     EseEjja                724       2.50         2.50          3.50            4.50        5.00        0.00          0.00           0.00             0.01         0.01
Pano-Tacanan     HuarayoEseEjja         659       0.00         0.00          0.00            0.00        0.00        0.00          0.00           0.00             0.00         0.00
Pano-Tacanan     Pacahuara               93       1.00         1.00          1.00            1.00        2.00        0.01          0.01           0.01             0.01         0.02
Pano-Tacanan     ShipiboConibo          918      24.00        26.00         13.33           17.17       33.33        0.03          0.03           0.01             0.02         0.04
Pano-Tacanan     Tacana                 903      14.00        15.00          9.00           10.50       21.50        0.02          0.02           0.01             0.01         0.02
Pano-Tacanan     Yaminahua             1129      51.67        59.17         39.50           42.50       72.67        0.05          0.05           0.03             0.04         0.06
Peba-Yagua       Yagua                 1179      25.75        27.08         20.42           20.25       33.92        0.02          0.02           0.02             0.02         0.03
Total                                 16060     429.92       448.25        306.50          320.50      557.00        0.03          0.03           0.02             0.02         0.03

Threshold: 0.275.
Language          tp     tn    fp    fn    precision    recall    F1 score    accuracy
--------------  ----  -----  ----  ----  -----------  --------  ----------  ----------
Aguaruna          19   1210     4    25        0.826     0.432       0.567       0.977
Araona             7   1104    13     1        0.350     0.875       0.500       0.988
Aymara            37    957    18    14        0.673     0.725       0.698       0.969
Cashibo            0    736     8     0        0.000     0.000       0.000       0.989
Catuquina         19   1067    12    26        0.613     0.422       0.500       0.966
Cavinena          24    952     4    25        0.857     0.490       0.623       0.971
Cayuvava          16   1103    19    16        0.457     0.500       0.478       0.970
Chacobo            2    990    18     9        0.100     0.182       0.129       0.974
EseEjja            3    955     3     7        0.500     0.300       0.375       0.990
HuarayoEseEjja     0    708     0     2        0.000     0.000       0.000       0.997
Itonama            8    880     3    11        0.727     0.421       0.533       0.984
MashcoPiro         5    546    12     6        0.294     0.455       0.357       0.968
Moseten           87   1032    11    32        0.888     0.731       0.802       0.963
Movima            68    949     0    21        1.000     0.764       0.866       0.980
PacaasNovos        1    227     0     0        1.000     1.000       1.000       1.000
Pacahuara          1     98     1     0        0.500     1.000       0.667       0.990
ShipiboConibo     24   1272    15    23        0.615     0.511       0.558       0.972
Tacana            13   1154     9    14        0.591     0.481       0.531       0.981
Yagua             32   1677    11    56        0.744     0.364       0.489       0.962
Yaminahua         65   1208    15    59        0.812     0.524       0.637       0.945
Total            431  18825   176   347        0.710     0.554       0.622       0.974
Total: borrowed 778, inherited 19001, total 19779

Threshold: 0.275.
Language Family      tp     tn    fp    fn    precision    recall    F1 score    accuracy
-----------------  ----  -----  ----  ----  -----------  --------  ----------  ----------
Arawakan              5    546    12     6        0.294     0.455       0.357       0.968
Aymaran              37    957    18    14        0.673     0.725       0.698       0.969
Cayubaba             16   1103    19    16        0.457     0.500       0.478       0.970
Chapacuran            1    227     0     0        1.000     1.000       1.000       1.000
Chicham              19   1210     4    25        0.826     0.432       0.567       0.977
Itonama               8    880     3    11        0.727     0.421       0.533       0.984
Mosetén-Chimané      87   1032    11    32        0.888     0.731       0.802       0.963
Movima               68    949     0    21        1.000     0.764       0.866       0.980
Pano-Tacanan        158  10244    98   166        0.617     0.488       0.545       0.975
Peba-Yagua           32   1677    11    56        0.744     0.364       0.489       0.962
Total               431  18825   176   347        0.710     0.554       0.622       0.974
Total: borrowed 778, inherited 19001, total 19779
