ID	FORM_ID	DOCULECT	DOCULECT_ID	CONCEPT	CONCEPT_ID	VALUE	FORM	BORROWING
107970	176-1-100-1	Spanish	176	world	1-100	mundo	mundo	
107971	176-1-210-1	Spanish	176	earth, land	1-210	tierra	tierra	
107972	176-1-212-1	Spanish	176	earth=ground, soil	1-212	suelo	suelo	
107973	176-1-213-1	Spanish	176	dust	1-213	polvo	polvo	
107974	176-1-214-1	Spanish	176	mud	1-214	lodo	lodo	
107975	176-1-215-1	Spanish	176	sand	1-215	arena	arena	
107976	176-1-220-1	Spanish	176	mountain, hill	1-220	montaɲa; loma; cerro	montaɲa	
107977	176-1-220-2	Spanish	176	mountain, hill	1-220	montaɲa; loma; cerro	loma	
107978	176-1-220-3	Spanish	176	mountain, hill	1-220	montaɲa; loma; cerro	cerro	
107979	176-1-222-1	Spanish	176	cliff, precipice	1-222	acantilado; barranca	acantilado	
107980	176-1-222-2	Spanish	176	cliff, precipice	1-222	acantilado; barranca	barranca	
107981	176-1-230-1	Spanish	176	plain, field	1-230	pampa; llanura; campo	pampa	
107982	176-1-230-2	Spanish	176	plain, field	1-230	pampa; llanura; campo	llanura	
107983	176-1-230-3	Spanish	176	plain, field	1-230	pampa; llanura; campo	campo	
107984	176-1-240-1	Spanish	176	valley	1-240	valle	valle	
107985	176-1-250-1	Spanish	176	island	1-250	isla	isla	
107986	176-1-260-1	Spanish	176	mainland	1-260	continente; tierra firme	continente	
107987	176-1-260-2	Spanish	176	mainland	1-260	continente; tierra firme	tierra firme	
107988	176-1-270-1	Spanish	176	shore	1-270	ribera; playa; costa	ribera	
107989	176-1-270-2	Spanish	176	shore	1-270	ribera; playa; costa	playa	
107990	176-1-270-3	Spanish	176	shore	1-270	ribera; playa; costa	costa	
107991	176-1-280-1	Spanish	176	cave	1-280	cueva; gruta	cueva	
107992	176-1-280-2	Spanish	176	cave	1-280	cueva; gruta	gruta	
107993	176-1-310-1	Spanish	176	water	1-310	agua	agua	
107994	176-1-320-1	Spanish	176	sea	1-320	mar	mar	
